"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, Lux (LGR S/N: 20055113, SEN S/N: 20055113)","Anfitrião Ligado (LGR S/N: 20055113)","Acoplador Ligado (LGR S/N: 20055113)","Parado (LGR S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
263,11/21/22 02h22min0s,28.357,137778.7,,,,
264,11/21/22 02h23min0s,27.764,1550.0,,,,
265,11/21/22 02h24min0s,27.370,1377.8,,,,
266,11/21/22 02h25min0s,26.977,1248.6,,,,
267,11/21/22 02h26min0s,26.683,1162.5,,,,
268,11/21/22 02h27min0s,26.390,1130.2,,,,
269,11/21/22 02h28min0s,26.195,958.0,,,,
270,11/21/22 02h29min0s,26.000,1356.3,,,,
271,11/21/22 02h30min0s,25.902,1259.4,,,,
272,11/21/22 02h31min0s,25.708,1463.9,,,,
273,11/21/22 02h32min0s,25.708,1377.8,,,,
274,11/21/22 02h33min0s,25.513,1184.0,,,,
275,11/21/22 02h34min0s,25.513,1463.9,,,,
276,11/21/22 02h35min0s,25.416,1130.2,,,,
277,11/21/22 02h36min0s,25.319,1173.3,,,,
278,11/21/22 02h37min0s,25.222,1022.6,,,,
279,11/21/22 02h38min0s,25.125,850.4,,,,
280,11/21/22 02h39min0s,25.028,904.2,,,,
281,11/21/22 02h40min0s,25.028,850.4,,,,
282,11/21/22 02h41min0s,24.931,850.4,,,,
283,11/21/22 02h42min0s,24.931,1097.9,,,,
284,11/21/22 02h43min0s,24.835,1162.5,,,,
285,11/21/22 02h44min0s,24.738,1313.2,,,,
286,11/21/22 02h45min0s,24.738,1065.6,,,,
287,11/21/22 02h46min0s,24.641,1044.1,,,,
288,11/21/22 02h47min0s,24.641,2669.5,,,,
289,11/21/22 02h48min0s,24.641,2755.6,,,,
290,11/21/22 02h49min0s,24.641,3444.5,,,,
291,11/21/22 02h50min0s,24.738,3788.9,,,,
292,11/21/22 02h51min0s,24.738,3788.9,,,,
293,11/21/22 02h52min0s,24.738,2152.8,,,,
294,11/21/22 02h53min0s,24.835,1302.4,,,,
295,11/21/22 02h54min0s,24.835,818.1,,,,
296,11/21/22 02h55min0s,24.931,721.2,,,,
297,11/21/22 02h56min0s,24.931,775.0,,,,
298,11/21/22 02h57min0s,24.931,731.9,,,,
299,11/21/22 02h58min0s,24.931,1291.7,,,,
300,11/21/22 02h59min0s,24.931,1313.2,,,,
301,11/21/22 03h0min0s,24.931,688.9,,,,
302,11/21/22 03h1min0s,24.931,484.4,,,,
303,11/21/22 03h2min0s,24.931,452.1,,,,
304,11/21/22 03h3min0s,24.835,592.0,,,,
305,11/21/22 03h4min0s,24.835,699.7,,,,
306,11/21/22 03h5min0s,24.835,1227.1,,,,
307,11/21/22 03h6min0s,24.835,1280.9,,,,
308,11/21/22 03h7min0s,24.931,818.1,,,,
309,11/21/22 03h8min0s,24.931,592.0,,,,
310,11/21/22 03h9min0s,24.931,592.0,,,,
311,11/21/22 03h10min0s,24.931,710.4,,,,
312,11/21/22 03h11min0s,24.931,1097.9,,,,
313,11/21/22 03h12min0s,24.931,1291.7,,,,
314,11/21/22 03h13min0s,25.028,1130.2,,,,
315,11/21/22 03h14min0s,25.028,53.8,,,,
316,11/21/22 03h15min0s,25.028,53.8,,,,
317,11/21/22 03h16min0s,25.028,53.8,,,,
318,11/21/22 03h17min0s,25.028,64.6,,,,
319,11/21/22 03h18min0s,25.125,64.6,,,,
320,11/21/22 03h19min0s,25.125,43.1,,,,
321,11/21/22 03h20min0s,25.125,64.6,,,,
322,11/21/22 03h21min0s,25.125,118.4,,,,
323,11/21/22 03h22min0s,25.125,86.1,,,,
324,11/21/22 03h23min0s,25.125,53.8,,,,
325,11/21/22 03h24min0s,25.125,43.1,,,,
326,11/21/22 03h25min0s,25.125,43.1,,,,
327,11/21/22 03h26min0s,25.125,53.8,,,,
328,11/21/22 03h27min0s,25.125,64.6,,,,
329,11/21/22 03h28min0s,25.125,86.1,,,,
330,11/21/22 03h29min0s,25.125,53.8,,,,
331,11/21/22 03h30min0s,25.125,64.6,,,,
332,11/21/22 03h31min0s,25.125,86.1,,,,
333,11/21/22 03h32min0s,25.125,129.2,,,,
334,11/21/22 03h33min0s,25.125,129.2,,,,
335,11/21/22 03h34min0s,25.125,129.2,,,,
336,11/21/22 03h35min0s,25.125,43.1,,,,
337,11/21/22 03h36min0s,25.125,107.6,,,,
338,11/21/22 03h37min0s,25.125,107.6,,,,
339,11/21/22 03h38min0s,25.125,129.2,,,,
340,11/21/22 03h39min0s,25.125,118.4,,,,
341,11/21/22 03h40min0s,25.125,96.9,,,,
342,11/21/22 03h41min0s,25.125,86.1,,,,
343,11/21/22 03h42min0s,25.125,118.4,,,,
344,11/21/22 03h43min0s,25.125,129.2,,,,
345,11/21/22 03h44min0s,25.125,150.7,,,,
346,11/21/22 03h45min0s,25.125,172.2,,,,
347,11/21/22 03h46min0s,25.125,150.7,,,,
348,11/21/22 03h47min0s,25.125,139.9,,,,
349,11/21/22 03h48min0s,25.222,139.9,,,,
350,11/21/22 03h49min0s,25.222,129.2,,,,
351,11/21/22 03h50min0s,25.222,161.5,,,,
352,11/21/22 03h51min0s,25.222,172.2,,,,
353,11/21/22 03h52min0s,25.222,150.7,,,,
354,11/21/22 03h53min0s,25.222,129.2,,,,
355,11/21/22 03h54min0s,25.319,118.4,,,,
356,11/21/22 03h55min0s,25.319,139.9,,,,
357,11/21/22 03h56min0s,25.222,139.9,,,,
358,11/21/22 03h57min0s,25.222,150.7,,,,
359,11/21/22 03h58min0s,25.319,172.2,,,,
360,11/21/22 03h59min0s,25.319,129.2,,,,
361,11/21/22 04h0min0s,25.319,107.6,,,,
